article_url,title,source_domain,published_date,gdelt_tone,related_event_id,review_status
https://www.cbc.ca/news/canada/toronto/judge-ruling-sample-2024-1,Judge issues ruling in high-profile case,cbc.ca,2024-03-15,-2.3,,pending_review
https://www.theglobeandmail.com/canada/article-court-decision-sample-2024,Court upholds conviction in landmark ruling,theglobeandmail.com,2024-04-01,-1.8,,pending_review
https://apnews.com/article/federal-court-sentence-sample-2024,Federal judge sentences defendant in fraud case,apnews.com,2024-05-10,-3.1,,pending_review
https://www.latimes.com/california/story/2024-06-01/court-ruling-sample,California court rules on appeal,latimes.com,2024-06-01,-0.9,,pending_review
https://www.washingtonpost.com/national/2024-07-15/federal-sentencing-sample,Federal sentencing guidelines reviewed,washingtonpost.com,2024-07-15,-1.5,,pending_review
https://www.ctvnews.ca/canada/court-sample-ruling-2024,Canadian court issues ruling on constitutional matter,ctvnews.ca,2024-08-20,-2.0,,pending_review
https://www.chicagotribune.com/news/2024-09-05/court-ruling-illinois,Illinois court upholds lower court decision,chicagotribune.com,2024-09-05,-1.2,,pending_review
https://www.nytimes.com/2024/10/12/us/federal-judge-ruling-sample.html,Federal judge rules on civil rights matter,nytimes.com,2024-10-12,-0.7,,pending_review
https://globalnews.ca/news/court-sentence-sample-2024,BC Supreme Court imposes sentence in fraud trial,globalnews.ca,2024-11-03,-2.8,,pending_review
https://www.torontostar.com/news/2024-12-01/ontario-court-sample,Ontario court ruling sets precedent,thestar.com,2024-12-01,-1.1,,pending_review
